site,2014,2015,2016,2017,2018,2019
Parks,33895.5,60581,28721,104995,86278,96454
Roadway,60439,56870,31319,79928,57469,63396
Waterways,31385.1,42467,26280,70320,62327,74314
Beach/Coastal,38095.9,35020,17412,40325,69170,82069
Bushland,28708,34297,12738,49294,45858,51014
Other,17125,12255,8645,34428,42545,33711
School Grounds,3077,20227,21489,18297,35356,28850
Shops/malls,9756.9,8406,1691,18687,7436,11790
Dive Site,770,244,52,1445,6314,43
Outdoor Transport,18419.9,1811,2011,4067,7512,3610
